name;open;high;low;close;volume;marketCap;timestamp
Bitcoin;104289.1839841784;104959.331446388;104257.2436227055;104835.9427461537;66822312379.53;2082587280111.25;2025-05-19T15:00:00.000000Z
Bitcoin;104832.3171079296;105404.2439191818;104527.2628918121;105377.2752358985;66264146280.66;2093041506867.14;2025-05-19T16:00:00.000000Z
Bitcoin;105357.7298103075;105550.7403662617;104975.9729681909;105398.1469189412;67886736951.14;2093933578980.69;2025-05-19T17:00:00.000000Z
Bitcoin;105401.8542445796;105559.2837055623;104727.7023119907;104756.2544562777;66625142184.16;2081109316916.98;2025-05-19T18:00:00.000000Z
Bitcoin;104755.3626123024;105571.885674729;104649.7254974788;105494.4327017455;67573224306.66;2095806096719.13;2025-05-19T19:00:00.000000Z
Bitcoin;105493.4533274444;105814.4328421348;105347.8121521434;105449.561449174;66281867153.44;2094943608211.41;2025-05-19T20:00:00.000000Z
Bitcoin;105450.1745441867;105521.8783684722;105049.4691868127;105459.7924564716;65099806812.05;2095560435651.59;2025-05-19T21:00:00.000000Z
Bitcoin;105480.5432970461;105635.981057666;105214.8524262179;105561.6399358253;64629452661.49;2097393013053.64;2025-05-19T22:00:00.000000Z
Bitcoin;105572.0372523272;105835.0753914749;105480.5947849179;105606.1814675408;61761126647.23;2098071217513.42;2025-05-19T23:00:00.000000Z
Bitcoin;105605.4091445749;106512.2097844943;105589.2068849171;105730.6906052862;61090090952.19;2100570922220.23;2025-05-20T00:00:00.000000Z
Bitcoin;105731.2305829039;106759.2920815539;105720.0460750344;106641.4628914535;61266198946.07;2118627229142.94;2025-05-20T01:00:00.000000Z
Bitcoin;106639.9358428514;106814.1804293084;106016.1227595024;106064.3061345078;61037717386.28;2107549264257.94;2025-05-20T02:00:00.000000Z
Bitcoin;106082.2845194725;106160.5187126722;105533.0020980068;105762.8109353157;61619067708.83;2100980797722.08;2025-05-20T03:00:00.000000Z
Bitcoin;105751.5314467747;106258.004534941;105556.3849115818;106209.7268114712;58766849423.15;2110085937737.09;2025-05-20T04:00:00.000000Z
Bitcoin;106209.6297273922;106416.6115768834;106098.0861268337;106144.4268750381;57979848520.41;2108723283125.35;2025-05-20T05:00:00.000000Z
Bitcoin;106140.9239702915;106213.9629470315;105398.4834976315;105543.2700530395;56054975258.54;2096849571427.56;2025-05-20T06:00:00.000000Z
Bitcoin;105528.6064008307;105728.2134467036;104973.367650442;105084.6981924491;55716866314.49;2087747255978.79;2025-05-20T07:00:00.000000Z
Bitcoin;105084.948210646;105254.2771139944;104898.8309722813;105192.0816449553;54876732684.67;2089907314984.96;2025-05-20T08:00:00.000000Z
Bitcoin;105193.5723063956;105399.2698817664;105172.8051271992;105300.8548130892;54745957678.6;2092068481482.32;2025-05-20T09:00:00.000000Z
Bitcoin;105302.2360380233;105406.8648933456;105048.780941055;105062.3917863981;55519108329.43;2087311569407.39;2025-05-20T10:00:00.000000Z
Bitcoin;105062.7697573407;105362.5890052402;104924.2108383116;105218.812263467;54733096596.33;2090487431028.97;2025-05-20T11:00:00.000000Z
Bitcoin;105222.5071026987;105233.4691641101;104673.5433896155;104797.5224085557;54802858272.78;2082375979135.37;2025-05-20T12:00:00.000000Z
Bitcoin;104814.0462476356;104862.9503802429;104206.5157781555;104472.1545882409;54695082435.0;2075585701190.94;2025-05-20T13:00:00.000000Z
Bitcoin;104472.149579163;104980.3876037509;104333.3416038686;104562.0644070687;53994184182.26;2077427299961.05;2025-05-20T14:00:00.000000Z
Bitcoin;104564.7126949903;105406.6988695293;104539.385141188;105369.5313009885;52275795666.6;2093671141539.42;2025-05-20T15:00:00.000000Z
Bitcoin;105382.1776857203;105512.4895768759;105135.7898024681;105230.1756192935;51099041618.55;2090669173251.78;2025-05-20T16:00:00.000000Z
Bitcoin;105231.0775682197;106354.9654165303;105225.8329137641;106226.5413226161;51407620130.47;2110513829759.8;2025-05-20T17:00:00.000000Z
Bitcoin;106229.7290170503;106438.6461148553;105283.3125568611;105302.5221728534;49939951926.2;2091983686800.72;2025-05-20T18:00:00.000000Z
Bitcoin;105297.040475789;107261.5839246661;105250.4987944783;107126.326074015;52831285094.71;2126835783823.07;2025-05-20T19:00:00.000000Z
Bitcoin;107051.0882919583;107307.1139351273;106467.757417251;106932.0735656224;54106919847.81;2124402675229.46;2025-05-20T20:00:00.000000Z
Bitcoin;106928.621421286;107247.5812990224;106203.5193442435;106701.1929091798;54850283651.03;2119732212791.62;2025-05-20T21:00:00.000000Z
Bitcoin;106657.794367108;106742.3860960926;105992.9722647747;106203.1702487074;0.0;0.0;2025-05-20T22:00:00.000000Z
